36 - 55, masters, high, single, willbuy
18 - 35, high school, low, single, wontbuy
36 - 55, masters, low, single, willbuy
18 - 35, bachelors, high, single, wontbuy
< 18, high school, low, single, willbuy
18 - 35, bachelors, high, married, wontbuy
36 - 55, bachelors, low, married, wontbuy
> 55, bachelors, high, single, willbuy
36 - 55, masters, low, married, wontbuy
> 55, masters, low, married, willbuy
36 - 55, masters, high, single, willbuy
> 55, masters, high, single, willbuy
< 18, high school, high, single, wontbuy
36 - 55, masters, low, single, willbuy
36 - 55, high school, low, single, willbuy
< 18, high school, low, married, willbuy
18 - 35, bachelors, high, married, wontbuy
> 55, high school, high, married, willbuy
> 55, bachelors, low, single, willbuy
36 - 55, high school, high, married, wontbuy
